TreeID,qLegalStatus,qSpecies,qAddress,SiteOrder,qSiteInfo,qCaretaker,PlantDate,DBH,PlotSize,Latitude,Longitude,Days,Years
171157,DPW Maintained,Lyonothamnus floribundus subsp. asplenifolius :: Santa Cruz Ironwood,2 Naples St,1.0,Sidewalk: Curb side : Cutout,Private,2021-08-28 00:00:00,3,Width 3ft,37.7284933,-122.4255199,893,2.4465753424657533
29523,DPW Maintained,Lophostemon confertus :: Brisbane Box,2000X Ingalls St,6.0,Sidewalk: Curb side : Cutout,DPW,2006-02-28 00:00:00,6,3X3,37.72662745,-122.386329,6553,17.953424657534246
90373,DPW Maintained,Tristaniopsis laurina 'Elegant' :: Small-leaf Tristania 'Elegant',399X Balboa St,3.0,Sidewalk: Curb side : Cutout,DPW,2008-02-12 00:00:00,3,3x3,37.77722936,-122.4629046,5839,15.997260273972604
43701,DPW Maintained,Prunus cerasifera :: Cherry Plum,3342 Fulton St,1.0,Sidewalk: Curb side : Cutout,Private,2000-07-25 00:00:00,5,,37.77339904,-122.4677282,8597,23.553424657534247
42695,DPW Maintained,Pittosporum undulatum :: Victorian Box,1610 Leavenworth St,1.0,Sidewalk: Curb side : Cutout,Private,2000-06-26 00:00:00,11,,37.79586759,-122.4166134,8626,23.632876712328766
85748,DPW Maintained,Ulmus parvifolia 'Drake' :: Drake's Chinese Elm,900 Folsom St,3.0,Sidewalk: Curb side : Cutout,DPW,2007-05-07 00:00:00,3,3x3,37.78028675,-122.4034394,6120,16.767123287671232
41123,DPW Maintained,Prunus serrulata :: Ornamental Cherry,1941 Grove St,1.0,Sidewalk: Curb side : Cutout,Private,2012-05-23 00:00:00,3,,37.7745166,-122.4485789,4277,11.717808219178082
4530,DPW Maintained,Pinus canariensis :: Canary Island Pine,45 Cleary Ct,1.0,Sidewalk: Curb side : Cutout,Private,2018-06-07 00:00:00,3,3X3,37.78400273,-122.4265366,2071,5.673972602739726
259370,DPW Maintained,Jacaranda mimosifolia :: Jacaranda,1466 Shafter Ave,1.0,Sidewalk: Curb side : Cutout,DPW,2021-09-23 00:00:00,3,,37.72966735,-122.3881845,867,2.3753424657534246
11714,Permitted Site,Arbutus 'Marina' :: Hybrid Strawberry Tree,899X Junipero Serra Blvd,1.0,Sidewalk: Curb side : Cutout,PUC,2008-01-18 00:00:00,3,3x3,37.72165289,-122.4722096,5864,16.065753424657533
44809,DPW Maintained,Callistemon viminalis :: Weeping Bottlebrush,1371 31st Ave,2.0,Sidewalk: Curb side : Cutout,Private,2001-04-12 00:00:00,3,,37.76164943,-122.4899583,8336,22.838356164383562
84879,DPW Maintained,Brachychiton populneus :: Bottle Tree,2042 Grove St,1.0,Sidewalk: Curb side : Cutout,Private,2007-03-20 00:00:00,2,,37.77442916,-122.4502517,6168,16.898630136986302
45374,DPW Maintained,Magnolia grandiflora :: Southern Magnolia,1883 25th Ave,1.0,Sidewalk: Curb side : Cutout,Private,2001-07-06 00:00:00,2,,37.75240896,-122.4828751,8251,22.605479452054794
102959,DPW Maintained,Tristaniopsis laurina :: Swamp Myrtle,1299X Junipero Serra Blvd,1.0,Sidewalk: Curb side : Yard,DPW,2013-03-09 00:00:00,2,,37.71497174,-122.4715998,3987,10.923287671232877
49549,DPW Maintained,Pyrus kawakamii :: Evergreen Pear,2434@ TARAVAL 21st Ave,1.0,Sidewalk: Curb side : Cutout,Private,2003-04-29 00:00:00,3,,37.74224976,-122.477703,7589,20.791780821917808
16228,DPW Maintained,Trachycarpus fortunei :: Windmill Palm,564X Monterey Blvd,2.0,Median : Cutout,DPW,2003-02-02 00:00:00,12,5,37.73165714,-122.448079,7675,21.027397260273972
214730,DPW Maintained,Prunus serrulata 'Kwanzan' :: Kwanzan Flowering Cherry,706 Faxon Ave,1.0,Sidewalk: Curb side : Cutout,Private,1999-06-03 00:00:00,8,Width 2ft,37.726071,-122.4598556,9015,24.698630136986303
255407,Planning Code 138.1 required,Acer rubrum :: Red Maple,199x Hayes St,3.0,Sidewalk: Curb side : Cutout,Private,2018-05-21 00:00:00,3,3x3,37.77709167,-122.4193912,2088,5.720547945205479
19379,DPW Maintained,Platanus x hispanica :: Sycamore: London Plane,532X 06th St,1.0,Sidewalk: Curb side : Cutout,DPW,1993-02-09 00:00:00,6,3X3,37.77552104,-122.4020374,11320,31.013698630136986
24300,DPW Maintained,Pyrus calleryana :: Ornamental Pear,10 Young Ct,1.0,Sidewalk: Curb side : Cutout,Private,1992-12-16 00:00:00,3,3X3,37.73625178,-122.3861993,11375,31.164383561643834
